Date,Open,High,Low,Close,Volume,Market Cap
"Nov 06, 2015",388.04699707,395.835998535,354.024993896,374.470001221,122687000,5545657295
"Nov 05, 2015",408.07699585,447.561004639,374.580993652,386.354003906,151824992,5720251077
"Nov 04, 2015",403.664001465,495.562011719,380.54800415,411.562988281,263900000,6092006971
"Nov 03, 2015",361.87298584,417.899993896,357.647003174,403.416992188,206162000,5969855535
"Nov 02, 2015",325.941986084,365.359985352,323.209014893,361.188995361,101918000,5343556482
"Nov 01, 2015",315.005004883,327.471984863,311.881011963,325.430999756,37001100,4813287206
"Oct 31, 2015",328.511993408,332.777008057,309.25100708,314.165985107,48598100,4645486246
"Oct 30, 2015",313.942993164,334.169006348,313.940002441,328.015014648,78305000,4849062146
"Oct 29, 2015",304.324005127,318.170013428,301.822998047,313.855010986,64495900,4638392428
"Oct 28, 2015",293.70300293,306.330993652,293.70300293,304.618011475,50808100,4500730950
"Oct 27, 2015",285.180999756,296.212005615,285.007995605,293.787994385,46331800,4339689442
"Oct 26, 2015",283.627990723,285.299987793,280.510009766,285.299987793,32108800,4213260473
"Oct 25, 2015",281.445007324,294.058990479,281.445007324,283.679992676,45717100,4188180600
"Oct 24, 2015",276.503997803,281.705993652,276.503997803,281.653991699,25942400,4157184875
"Oct 23, 2015",273.648986816,278.683990479,273.542999268,276.496002197,29442500,4080023363
"Oct 22, 2015",266.496002197,276.510009766,266.135009766,274.023010254,37808600,4042524308
"Oct 21, 2015",269.305999756,270.769989014,263.838989258,266.272003174,25637300,3927192474
"Oct 20, 2015",263.571990967,270.834991455,263.226989746,269.463012695,30889800,3973292564
"Oct 19, 2015",261.860992432,264.820007324,260.95098877,263.437011719,25258800,3883581668
"Oct 18, 2015",270.907012939,271.667999268,260.777008057,261.643005371,22434300,3856061829
"Oct 17, 2015",262.747009277,273.57800293,262.367004395,270.640014648,43199600,3987684186
"Oct 16, 2015",254.296005249,266.135009766,253.925994873,262.868988037,35901500,3872283809
"Oct 15, 2015",252.106994629,255.962005615,252.046005249,254.320007324,25223500,3745440578
"Oct 14, 2015",249.492996216,254.274993896,248.902999878,251.988998413,27462600,3710065546
"Oct 13, 2015",245.199996948,250.235992432,243.757003784,249.507995605,28198500,3672589342
"Oct 12, 2015",246.875,247.453994751,245.179000854,245.307998657,17388300,3609927997
"Oct 11, 2015",244.742004395,247.242996216,244.151992798,247.050003052,16827300,3634686068
"Oct 10, 2015",243.740005493,245.319000244,243.074005127,244.940994263,15912700,3602763687
"Oct 09, 2015",242.498001099,244.227996826,242.121994019,243.930999756,17353100,3586932176
"Oct 08, 2015",243.074996948,244.25100708,242.179000854,242.304000854,18515300,3562238314
"Oct 07, 2015",246.169998169,246.680999756,242.585006714,242.968994141,22999200,3571170510
"Oct 06, 2015",240.363998413,246.934997559,240.136001587,246.06300354,27535100,3615828118
"Oct 05, 2015",238.147003174,240.382995605,237.035003662,240.382995605,23335900,3531508720
"Oct 04, 2015",238.531005859,238.968002319,237.940002441,238.259002686,12999000,3499387367
"Oct 03, 2015",237.20199585,239.315002441,236.944000244,238.729995728,16482700,3505385987
"Oct 02, 2015",237.264007568,238.541000366,236.602996826,237.292999268,19677900,3483431578
"Oct 01, 2015",236.003997803,238.445007324,235.615997314,237.548995972,20488800,3486370082
"Sep 30, 2015",236.63999939,237.73399353,235.628997803,236.059997559,19743500,3463625759
"Sep 29, 2015",239.01600647,239.802001953,235.927993774,236.68699646,22691300,3471967520
"Sep 28, 2015",232.835998535,239.339004517,232.466995239,239.141998291,24713000,3506933730
"Sep 27, 2015",234.139007568,234.526000977,232.475997925,232.757003784,14179900,3412467834
"Sep 26, 2015",235.076004028,235.402999878,233.358001709,234.339996338,13724100,3434809258
"Sep 25, 2015",234.361999512,237.427001953,233.684005737,235.143997192,22363600,3445723754
"Sep 24, 2015",230.358001709,235.649002075,230.294998169,234.529006958,25097800,3435744312
"Sep 23, 2015",230.936004639,231.835006714,229.591003418,230.283004761,17254100,3372747846
"Sep 22, 2015",226.968994141,232.386001587,225.117004395,230.617996216,25009300,3376737583
"Sep 21, 2015",231.216995239,231.216995239,226.520996094,227.085006714,19678800,3324121324
"Sep 20, 2015",231.399002075,232.365005493,230.910003662,231.212005615,14444700,3383764499
"Sep 19, 2015",232.858001709,233.205001831,231.089004517,231.492996216,12712600,3387141915
"Sep 18, 2015",233.520996094,234.352996826,232.184997559,232.975006104,20242200,3408098085
"Sep 17, 2015",229.076004028,230.285003662,228.925994873,229.809997559,18935400,3360247349
"Sep 16, 2015",230.25,231.214996338,227.401992798,229.091003418,20144200,3349613966
"Sep 15, 2015",230.492004395,259.182006836,229.822006226,230.304000854,19177800,3366532054
"Sep 14, 2015",230.60899353,232.440002441,227.960998535,230.643997192,20997800,3370579521
"Sep 13, 2015",235.242004395,235.934997559,229.332000732,230.511993408,18478800,3367774557
"Sep 12, 2015",239.854995728,240.12399292,234.753997803,235.229003906,17962600,3435801820
"Sep 11, 2015",238.328994751,241.169006348,238.328994751,240.106994629,19224700,3506204486
"Sep 10, 2015",238.335998535,241.292999268,235.791000366,238.477005005,21215500,3481466104
"Sep 09, 2015",243.414993286,244.416000366,237.820999146,238.167999268,23635700,3475960739
"Sep 08, 2015",239.845993042,245.781005859,239.677993774,243.606994629,26879200,3554439286
"Sep 07, 2015",239.934005737,242.106002808,238.722000122,239.847000122,21192200,3498762116
"Sep 06, 2015",234.869995117,242.912002563,234.680999756,239.839996338,25473700,3497748612
"Sep 05, 2015",230.199005127,236.143005371,229.442993164,235.018997192,20671400,3426594646
"Sep 04, 2015",227.214996338,230.899993896,227.050994873,230.29800415,20962400,3356910010
"Sep 03, 2015",229.324005127,229.604995728,226.667007446,227.182998657,17482000,3310618588
"Sep 02, 2015",228.026992798,230.57699585,226.475006104,229.283996582,18760400,3340404203
"Sep 01, 2015",230.255996704,231.216003418,226.86000061,228.121002197,20575200,3322548147
"Aug 31, 2015",229.113998413,231.955993652,225.914993286,230.055999756,20710700,3349845416
"Aug 30, 2015",229.895004272,232.067993164,226.246994019,228.761001587,19412600,3330085315
"Aug 29, 2015",231.548995972,233.222000122,227.330001831,229.779998779,17142500,3344063019
"Aug 28, 2015",224.701004028,235.218994141,220.925994873,231.395996094,31336600,3366649823
"Aug 27, 2015",226.050003052,228.643005371,223.684005737,224.768997192,21905400,3269360632
"Aug 26, 2015",222.076004028,231.182998657,220.203994751,225.830993652,31808000,3284040048
"Aug 25, 2015",210.067993164,226.320999146,199.567001343,221.60899353,61089200,3221751642
"Aug 24, 2015",228.111999512,228.139007568,210.442993164,210.494995117,59220700,3059460627
"Aug 23, 2015",230.37600708,232.705001831,225.580001831,228.169006348,18406600,3315466697
"Aug 22, 2015",232.662002563,234.957000732,222.703994751,230.38999939,23205900,3346961926
"Aug 21, 2015",235.354995728,236.432006836,231.723999023,232.569000244,23173800,3377704243
"Aug 20, 2015",226.899002075,237.365005493,226.899002075,235.350006104,32275000,3417123139
"Aug 19, 2015",225.671005249,237.408996582,222.76600647,226.684005737,60869200,3290448603
"Aug 18, 2015",257.925994873,257.993011475,211.078994751,211.078994751,42147200,3063104570
"Aug 17, 2015",258.489990234,260.505004883,257.117004395,257.976013184,21617900,3742748055
"Aug 16, 2015",261.865997314,262.440002441,257.040985107,258.506988525,29717000,3749501856
"Aug 15, 2015",265.528991699,266.666992188,261.29598999,261.550994873,19321100,3792757590
"Aug 14, 2015",264.131988525,267.466003418,261.477996826,265.679992676,27091200,3851715726
"Aug 13, 2015",266.183013916,266.231994629,262.841003418,264.079986572,27685500,3827588724
"Aug 12, 2015",270.597991943,270.67300415,265.468994141,266.37600708,26815400,3859888131
"Aug 11, 2015",264.342010498,270.385986328,264.093994141,270.385986328,25433900,3917142819
"Aug 10, 2015",265.477996826,267.032012939,262.596008301,264.470001221,20979400,3830352069
"Aug 09, 2015",261.115997314,267.002990723,260.467987061,265.083007812,23789600,3838130130
"Aug 08, 2015",279.742004395,279.928009033,260.709991455,260.997009277,58533000,3778049024
"Aug 07, 2015",278.740997314,280.391998291,276.365997314,279.584991455,42484800,4045993359
"Aug 06, 2015",281.906005859,281.906005859,278.403015137,278.57699585,18792100,4030445072
"Aug 05, 2015",284.846984863,285.50100708,281.488006592,281.881988525,20128000,4077254001
"Aug 04, 2015",281.225006104,285.714996338,281.225006104,285.217987061,21908700,4124558889
"Aug 03, 2015",282.805999756,285.471008301,280.233001709,281.226989746,21474100,4065895598
"Aug 02, 2015",280.449005127,283.032012939,277.528991699,282.614013672,17722200,4084832103
"Aug 01, 2015",284.686004639,284.932006836,278.111999512,281.601013184,18995000,4069120370
"Jul 31, 2015",287.696014404,288.959014893,282.343994141,284.649993896,23629100,4112089481
"Jul 30, 2015",289.102996826,290.12600708,286.567993164,287.721984863,21635800,4155381827
"Jul 29, 2015",294.484008789,294.536010742,288.777008057,289.589996338,24672600,4181390010
"Jul 28, 2015",293.632995605,296.648986816,293.42300415,294.427001953,25453600,4250112630
"Jul 27, 2015",292.639007568,297.773986816,287.450012207,293.62399292,30592000,4237522843
"Jul 26, 2015",288.640014648,293.052001953,287.705993652,292.686004639,16032300,4222888242
"Jul 25, 2015",288.164001465,290.733001709,286.00201416,288.696990967,20662200,4164295442
"Jul 24, 2015",276.005004883,289.252990723,275.253997803,288.278015137,37199400,4157148934
"Jul 23, 2015",277.341003418,278.110992432,275.716003418,276.04901123,18531300,3979625902
"Jul 22, 2015",275.657012939,277.665985107,274.381011963,277.221984863,19389800,3995572964
"Jul 21, 2015",278.881988525,280.54699707,275.419006348,275.833007812,22930700,3974491489
"Jul 20, 2015",273.49899292,278.980987549,272.959991455,278.980987549,22711400,4018965413
"Jul 19, 2015",274.766998291,275.670013428,272.513000488,273.614013672,15332500,3940581988
"Jul 18, 2015",279.330993652,282.527008057,274.075012207,274.901000977,25187100,3958065833
"Jul 17, 2015",278.091003418,280.279998779,272.042999268,279.471984863,27591400,4022845730
"Jul 16, 2015",286.041992188,291.183013916,275.239990234,278.088989258,49482600,4001916229
"Jul 15, 2015",288.045013428,293.24798584,285.367004395,285.82901001,27486600,4112343300
"Jul 14, 2015",292.033996582,296.147003174,286.638000488,287.463989258,28727200,4134767190
"Jul 13, 2015",310.82699585,310.947998047,281.010986328,292.053985596,62053900,4199736520
